price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,sector_median_price,sector_number
1.5,10200.0,1471.0,1385,2,2,3,2.0,0,0,0,0,0,0,0,87,1.45,33
1.83,13969.0,1310.0,1310,2,2,0,7.0,5,0,0,0,0,0,0,68,2.45,113
3.2,14222.0,2250.0,250,3,3,2,2.0,4,0,0,0,0,0,0,13,0.65,4
6.95,38611.0,1800.0,192,12,12,3,4.0,1,0,1,1,0,0,1,73,4.2,57
0.5,8375.0,597.0,597,3,2,2,2.0,0,0,0,0,0,0,0,15,1.38,88
3.4,11724.0,2900.0,2900,4,4,3,0.0,5,0,0,0,0,0,0,0,7.0,41
4.55,10000.0,4550.0,4650,4,4,3,11.0,2,0,0,0,0,0,1,60,1.7,102
1.72,7818.0,2200.0,2200,3,3,2,2.0,4,0,0,0,0,0,1,144,2.675,49
2.2,13500.0,1630.0,1600,3,3,2,1.0,0,0,0,0,0,0,0,49,2.025,61
0.63,5590.0,1127.0,1134,2,2,3,2.0,2,1,0,0,0,0,0,110,2.4,82
1.4,7035.0,1990.0,1990,3,3,3,4.0,2,0,1,0,0,0,0,149,1.185,37
1.13,7000.0,1614.0,1610,3,3,2,1.0,0,0,0,0,0,0,0,46,1.655,70
1.95,21195.0,920.0,920,3,5,3,2.0,3,0,0,0,0,0,0,64,1.58,104
1.75,8974.0,1950.0,1950,3,5,0,0.0,5,0,0,0,0,0,0,47,1.655,70
2.45,8521.0,2875.0,2875,4,4,3,11.0,2,1,1,1,1,0,0,38,1.25,103
4.7,21759.0,2160.0,240,3,3,3,3.0,1,0,1,0,0,0,0,33,2.4,82
0.7,8101.0,864.0,864,4,2,0,2.0,4,0,0,0,0,0,0,7,2.35,28
1.3,8700.0,1494.0,1500,3,3,2,1.0,1,0,0,0,0,1,0,45,1.115,89
6.5,12037.0,5400.0,5400,4,4,3,1.0,1,0,1,0,0,0,1,160,2.175,109
0.55,9166.0,600.0,600,2,2,3,3.0,1,0,0,0,0,0,0,53,1.185,37
0.9,8035.0,1120.0,1120,3,2,2,2.0,0,0,0,0,0,0,0,144,1.5,114
1.15,7496.0,1534.0,1534,2,2,3,0.0,2,1,0,0,0,0,0,29,0.675,107
3.5,16470.0,2125.0,2200,3,4,3,6.0,2,0,1,0,0,0,0,68,3.475,66
1.78,8036.0,2215.0,2215,4,4,3,8.0,2,0,0,0,0,0,0,126,1.25,90
2.5,13513.0,1850.0,1850,3,2,3,5.0,4,1,0,0,0,0,0,0,5.25,43
3.9,21242.0,1836.0,204,6,6,3,3.0,3,1,1,0,1,0,0,32,3.7,38
0.55,6707.0,820.0,820,2,2,1,2.0,3,0,0,0,0,0,0,0,0.85,3
1.67,7622.0,2191.0,2191,4,4,3,11.0,2,0,0,0,0,0,1,149,1.185,37
0.65,6789.0,957.0,1350,2,2,3,9.0,2,1,0,0,0,0,0,67,1.25,90
5.5,16959.0,3243.0,3243,3,4,3,3.0,2,0,1,0,0,0,0,49,2.775,65
2.05,9000.0,2278.0,2215,4,4,3,5.0,2,0,0,0,0,0,1,49,1.25,90
